playerName,height,weight,birthDate,country,url,goals,shots,penalties,foulsReceived,offSides,foulsCommited,recoveries,passesCutOff,entrancesWon,duels,cards,passes,goalAssists,dribbles,corners,ballLosses
Reinildo Isnard Mandava,180 cm,73 kg,20 de enero de 1994 en Beira,Mozambique,https://www.marca.com/resultados/futbol/jugadores/8e/71/reinildo/ficha/P434399.html,0,3,0,30,0,32,129,30,953,43,215,4,0,8,16,194
Sergio Diez,,,27 de julio de 2003 en Madrid,España,https://www.marca.com/resultados/futbol/jugadores/f4/b4/sergio-diez/ficha/P551323.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Moreno,,,19 de febrero de 2001 en Las Palmas de Gran Canaria,España,https://www.marca.com/resultados/futbol/jugadores/c7/4a/marco-moreno/ficha/P492852.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilias Kostis,,,26 de febrero de 2003 en Thessaloniki,Chipre,https://www.marca.com/resultados/futbol/jugadores/00/d3/ilias-kostis/ficha/P551309.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adrián Corral Alciturri,,,4 de enero de 2003 en Santander,España,https://www.marca.com/resultados/futbol/jugadores/88/be/adrian-corral/ficha/P494931.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoffrey Kondogbia,188 cm,80 kg,14 de febrero de 1993 en Nemours,RepúblicaCentroafricana,https://www.marca.com/resultados/futbol/jugadores/d4/d5/geoffrey-kondogbia/ficha/P88754.html,0,11,0,18,2,15,99,25,592,20,115,4,2,3,0,80
Rodrigo De Paul,180 cm,70 kg,23 de mayo de 1994 en Sarandi,BuenosAires,https://www.marca.com/resultados/futbol/jugadores/c0/9b/rodrigo-de-paul/ficha/P119141.html,1,12,0,29,0,19,71,4,831,11,119,4,3,10,36,204
Jorge Resurrección Merodio,176 cm,77 kg,7 de enero de 1992 en Madrid,España,https://www.marca.com/resultados/futbol/jugadores/15/ee/koke/ficha/P77390.html,0,3,0,24,1,17,121,14,1345,30,151,4,3,4,18,222
Thomas Lemar,171 cm,63 kg,11 de noviembre de 1995 en Baie-Mahault,Francia,https://www.marca.com/resultados/futbol/jugadores/3f/ae/thomas-lemar/ficha/P167449.html,1,8,0,9,2,6,57,5,577,14,107,0,2,17,36,141
Marcos Llorente,184 cm,74 kg,29 de enero de 1995 en Madrid,España,https://www.marca.com/resultados/futbol/jugadores/69/7d/marcos-llorente/ficha/P192364.html,1,14,0,12,2,29,102,15,670,14,146,4,2,12,42,193
Saúl Ñíguez,184 cm,76 kg,20 de noviembre de 1994 en Elche,España,https://www.marca.com/resultados/futbol/jugadores/c3/b5/saul-niguez/ficha/P89335.html,1,8,0,2,1,26,32,11,290,18,122,7,1,8,10,94
Axel Witsel,186 cm,81 kg,11 de enero de 1989 en Liège,Bélgica,https://www.marca.com/resultados/futbol/jugadores/81/7c/axel-witsel/ficha/P41189.html,0,3,0,10,0,10,78,15,862,10,90,2,0,4,2,69
Yannick Carrasco,181 cm,73 kg,3 de septiembre de 1993 en Ixelles,Bélgica,https://www.marca.com/resultados/futbol/jugadores/55/2d/yannick-carrasco/ficha/P119718.html,3,30,0,13,3,18,83,13,578,12,174,1,1,37,61,246
Pablo Barrios,,,14 de junio de 2003,España,https://www.marca.com/resultados/futbol/jugadores/b5/11/pablo-barrios-rivas/ficha/P503523.html,0,7,0,7,0,5,43,7,320,8,67,1,1,15,6,90
Alberto Moreno Rebanal,,,18 de abril de 2002 en Madrid,España,https://www.marca.com/resultados/futbol/jugadores/43/46/alberto-moreno/ficha/P531218.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aitor Gismera,,,20 de febrero de 2004,España,https://www.marca.com/resultados/futbol/jugadores/b2/e7/aitor-gismera/ficha/P493108.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antoine Griezmann,176 cm,73 kg,20 de marzo de 1991 en Mâcon,Francia,https://www.marca.com/resultados/futbol/jugadores/5c/a7/antoine-griezmann/ficha/P76650.html,9,56,0,30,7,20,112,16,978,27,263,1,8,42,112,345
Memphis Depay,178 cm,78 kg,12 de febrero de 1994 en Moordrecht,PaísesBajos,https://www.marca.com/resultados/futbol/jugadores/41/53/memphis-depay/ficha/P106824.html,1,5,0,2,1,2,7,0,62,1,19,0,0,3,4,27
Ángel Correa,171 cm,68 kg,8 de marzo de 1995 en Rosario,Argentina,https://www.marca.com/resultados/futbol/jugadores/63/71/angel-correa/ficha/P156223.html,6,18,0,15,6,13,42,10,368,2,115,2,0,17,19,173
Álvaro Morata,190 cm,84 kg,22 de octubre de 1992 en Madrid,España,https://www.marca.com/resultados/futbol/jugadores/07/91/alvaro-morata/ficha/P88482.html,10,45,0,45,21,32,54,0,343,8,205,3,2,15,4,204
Diego Bri,,,11 de septiembre de 2002,España,https://www.marca.com/resultados/futbol/jugadores/65/de/diego-bri/ficha/P508462.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Martín Domínguez,,,21 de abril de 2002 en Madrid,España,https://www.marca.com/resultados/futbol/jugadores/bc/2d/carlos-martin/ficha/P531219.html,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Alejandro Remiro Gargallo,191 cm,79 kg,23 de marzo de 1995 en Cascante,España,https://www.marca.com/resultados/futbol/jugadores/d1/68/alex-remiro/ficha/P197316.html,0,2,1,894,281
Andoni Zubiaurre,190 cm,80 kg,3 de diciembre de 1996 en Ordizia,España,https://www.marca.com/resultados/futbol/jugadores/55/96/andoni-zubiaurre/ficha/P446306.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unai Marrero,,,8 de octubre de 2001 en San Sebastián,España,https://www.marca.com/resultados/futbol/jugadores/5f/31/unai-marrero/ficha/P523062.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egoitz Arana,,,18 de febrero de 2002,España,https://www.marca.com/resultados/futbol/jugadores/1c/a9/egoitz-arana/ficha/P564750.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álex Sola,178 cm,75 kg,8 de junio de 1999 en San Sebastián,España,https://www.marca.com/resultados/futbol/jugadores/25/65/alex-sola/ficha/P477406.html,0,4,0,8,0,3,17,7,142,9,62,1,0,9,12,52
